LAT,LON,PRECTOTCORR,PS,RH2M,T2M,WS10M,DATE
32.5,-124.375,0.0,101.56,95.15,15.14,7.11,2023-07-01
32.5,-123.75,0.0,101.5,95.73,15.1,7.23,2023-07-01
32.5,-123.125,0.0,101.45,96.26,15.02,7.17,2023-07-01
32.5,-122.5,0.0,101.39,96.83,14.87,6.92,2023-07-01
32.5,-121.875,0.0,101.35,97.13,14.77,6.74,2023-07-01
32.5,-121.25,0.0,101.3,97.18,14.78,6.28,2023-07-01
32.5,-120.625,0.0,101.26,97.23,14.58,5.41,2023-07-01
32.5,-120.0,0.0,101.23,97.32,14.11,4.22,2023-07-01
33.0,-124.375,0.0,101.54,95.41,14.92,7.46,2023-07-01
33.0,-123.75,0.0,101.48,96.07,14.91,7.55,2023-07-01
33.0,-123.125,0.0,101.43,96.44,14.94,7.55,2023-07-01
33.0,-122.5,0.0,101.37,96.91,14.83,7.29,2023-07-01
33.0,-121.875,0.0,101.32,97.26,14.69,6.97,2023-07-01
33.0,-121.25,0.0,101.27,97.28,14.58,6.29,2023-07-01
33.0,-120.625,0.0,101.24,97.19,14.23,5.04,2023-07-01
33.0,-120.0,0.0,101.23,97.26,13.62,3.25,2023-07-01
33.5,-124.375,0.0,101.53,95.63,14.73,7.67,2023-07-01
33.5,-123.75,0.0,101.47,96.36,14.74,7.72,2023-07-01
33.5,-123.125,0.0,101.41,96.63,14.81,7.75,2023-07-01
33.5,-122.5,0.0,101.35,96.97,14.76,7.55,2023-07-01
33.5,-121.875,0.0,101.3,97.25,14.59,7.13,2023-07-01
33.5,-121.25,0.0,101.25,97.37,14.31,6.18,2023-07-01
33.5,-120.625,0.0,101.19,96.77,13.96,4.79,2023-07-01
33.5,-120.0,0.0,101.16,96.13,13.84,2.95,2023-07-01
34.0,-124.375,0.0,101.51,95.72,14.63,7.81,2023-07-01
34.0,-123.75,0.0,101.45,96.65,14.57,7.72,2023-07-01
34.0,-123.125,0.0,101.39,97.07,14.55,7.72,2023-07-01
34.0,-122.5,0.0,101.33,97.18,14.57,7.59,2023-07-01
34.0,-121.875,0.0,101.27,97.21,14.46,7.1,2023-07-01
34.0,-121.25,0.0,101.23,97.53,13.94,5.89,2023-07-01
34.0,-120.625,0.0,101.08,95.33,13.78,4.22,2023-07-01
34.0,-120.0,0.01,100.64,86.3,15.76,2.91,2023-07-01
34.5,-124.375,0.0,101.49,95.8,14.62,7.95,2023-07-01
34.5,-123.75,0.0,101.42,96.77,14.5,7.64,2023-07-01
34.5,-123.125,0.0,101.37,97.37,14.35,7.46,2023-07-01
34.5,-122.5,0.0,101.31,97.31,14.41,7.34,2023-07-01
34.5,-121.875,0.0,101.25,96.89,14.38,6.92,2023-07-01
34.5,-121.25,0.0,101.2,97.22,13.79,5.66,2023-07-01
34.5,-120.625,0.0,100.34,75.77,16.99,3.17,2023-07-01
34.5,-120.0,0.0,97.53,50.79,22.71,2.43,2023-07-01
35.0,-124.375,0.01,101.47,95.99,14.59,8.03,2023-07-01
35.0,-123.75,0.01,101.4,96.71,14.47,7.53,2023-07-01
35.0,-123.125,0.0,101.34,97.37,14.28,7.09,2023-07-01
35.0,-122.5,0.0,101.29,97.33,14.24,6.92,2023-07-01
35.0,-121.875,0.0,101.22,97.03,13.94,6.74,2023-07-01
35.0,-121.25,0.0,101.08,94.89,13.72,4.58,2023-07-01
35.0,-120.625,0.0,98.93,56.51,20.8,2.53,2023-07-01
35.0,-120.0,0.0,94.15,32.86,28.74,2.12,2023-07-01
35.5,-124.375,0.01,101.45,96.19,14.48,8.02,2023-07-01
35.5,-123.75,0.0,101.38,96.33,14.5,7.4,2023-07-01
35.5,-123.125,0.0,101.32,96.7,14.35,6.66,2023-07-01
35.5,-122.5,0.0,101.29,97.5,13.9,6.45,2023-07-01
35.5,-121.875,0.0,101.14,93.11,13.87,5.62,2023-07-01
35.5,-121.25,0.0,100.15,68.9,17.36,2.88,2023-07-01
35.5,-120.625,0.0,97.34,35.06,26.81,2.37,2023-07-01
35.5,-120.0,0.0,96.6,28.91,30.6,2.29,2023-07-01
36.0,-124.375,0.01,101.43,96.11,14.37,8.11,2023-07-01
36.0,-123.75,0.0,101.36,95.74,14.44,7.31,2023-07-01
36.0,-123.125,0.0,101.31,95.78,14.35,6.17,2023-07-01
36.0,-122.5,0.0,101.28,97.79,13.22,4.79,2023-07-01
36.0,-121.875,0.0,100.09,78.79,15.11,3.3,2023-07-01
